station,startTime,endTime,inNums,outNums
0,2019-01-05 00:00:00,2019-01-05 00:10:00,0.0,0.0
0,2019-01-05 00:10:00,2019-01-05 00:20:00,0.0,0.0
0,2019-01-05 00:20:00,2019-01-05 00:30:00,1.0,2.0
0,2019-01-05 00:30:00,2019-01-05 00:40:00,0.0,0.0
0,2019-01-05 00:40:00,2019-01-05 00:50:00,0.0,0.0
0,2019-01-05 00:50:00,2019-01-05 01:00:00,0.0,0.0
0,2019-01-05 01:00:00,2019-01-05 01:10:00,0.0,0.0
0,2019-01-05 01:10:00,2019-01-05 01:20:00,0.0,0.0
0,2019-01-05 01:20:00,2019-01-05 01:30:00,0.0,0.0
0,2019-01-05 01:30:00,2019-01-05 01:40:00,0.0,0.0
0,2019-01-05 01:40:00,2019-01-05 01:50:00,0.0,0.0
0,2019-01-05 01:50:00,2019-01-05 02:00:00,0.0,0.0
0,2019-01-05 02:00:00,2019-01-05 02:10:00,0.0,0.0
0,2019-01-05 02:10:00,2019-01-05 02:20:00,0.0,0.0
0,2019-01-05 02:20:00,2019-01-05 02:30:00,0.0,0.0
0,2019-01-05 02:30:00,2019-01-05 02:40:00,0.0,0.0
0,2019-01-05 02:40:00,2019-01-05 02:50:00,0.0,0.0
0,2019-01-05 02:50:00,2019-01-05 03:00:00,0.0,0.0
0,2019-01-05 03:00:00,2019-01-05 03:10:00,0.0,0.0
0,2019-01-05 03:10:00,2019-01-05 03:20:00,0.0,0.0
0,2019-01-05 03:20:00,2019-01-05 03:30:00,0.0,0.0
0,2019-01-05 03:30:00,2019-01-05 03:40:00,0.0,0.0
0,2019-01-05 03:40:00,2019-01-05 03:50:00,0.0,0.0
0,2019-01-05 03:50:00,2019-01-05 04:00:00,0.0,0.0
0,2019-01-05 04:00:00,2019-01-05 04:10:00,0.0,0.0
0,2019-01-05 04:10:00,2019-01-05 04:20:00,0.0,0.0
0,2019-01-05 04:20:00,2019-01-05 04:30:00,0.0,0.0
0,2019-01-05 04:30:00,2019-01-05 04:40:00,0.0,0.0
0,2019-01-05 04:40:00,2019-01-05 04:50:00,0.0,0.0
0,2019-01-05 04:50:00,2019-01-05 05:00:00,0.0,0.0
0,2019-01-05 05:00:00,2019-01-05 05:10:00,0.0,0.0
0,2019-01-05 05:10:00,2019-01-05 05:20:00,0.0,0.0
0,2019-01-05 05:20:00,2019-01-05 05:30:00,0.0,0.0
0,2019-01-05 05:30:00,2019-01-05 05:40:00,2.0,0.0
0,2019-01-05 05:40:00,2019-01-05 05:50:00,8.0,0.0
0,2019-01-05 05:50:00,2019-01-05 06:00:00,14.0,2.0
0,2019-01-05 06:00:00,2019-01-05 06:10:00,15.0,0.0
0,2019-01-05 06:10:00,2019-01-05 06:20:00,21.0,0.0
0,2019-01-05 06:20:00,2019-01-05 06:30:00,13.0,0.0
0,2019-01-05 06:30:00,2019-01-05 06:40:00,43.0,58.0
0,2019-01-05 06:40:00,2019-01-05 06:50:00,54.0,31.0
0,2019-01-05 06:50:00,2019-01-05 07:00:00,74.0,16.0
0,2019-01-05 07:00:00,2019-01-05 07:10:00,94.0,20.0
0,2019-01-05 07:10:00,2019-01-05 07:20:00,119.0,25.0
0,2019-01-05 07:20:00,2019-01-05 07:30:00,121.0,30.0
0,2019-01-05 07:30:00,2019-01-05 07:40:00,152.0,33.0
0,2019-01-05 07:40:00,2019-01-05 07:50:00,166.0,48.0
0,2019-01-05 07:50:00,2019-01-05 08:00:00,185.0,37.0
0,2019-01-05 08:00:00,2019-01-05 08:10:00,174.0,33.0
0,2019-01-05 08:10:00,2019-01-05 08:20:00,194.0,44.0
0,2019-01-05 08:20:00,2019-01-05 08:30:00,186.0,51.0
0,2019-01-05 08:30:00,2019-01-05 08:40:00,201.0,87.0
0,2019-01-05 08:40:00,2019-01-05 08:50:00,140.0,82.0
0,2019-01-05 08:50:00,2019-01-05 09:00:00,127.0,72.0
0,2019-01-05 09:00:00,2019-01-05 09:10:00,198.0,74.0
0,2019-01-05 09:10:00,2019-01-05 09:20:00,158.0,61.0
0,2019-01-05 09:20:00,2019-01-05 09:30:00,164.0,81.0
0,2019-01-05 09:30:00,2019-01-05 09:40:00,144.0,97.0
0,2019-01-05 09:40:00,2019-01-05 09:50:00,133.0,71.0
0,2019-01-05 09:50:00,2019-01-05 10:00:00,133.0,63.0
0,2019-01-05 10:00:00,2019-01-05 10:10:00,148.0,75.0
0,2019-01-05 10:10:00,2019-01-05 10:20:00,107.0,68.0
0,2019-01-05 10:20:00,2019-01-05 10:30:00,146.0,80.0
0,2019-01-05 10:30:00,2019-01-05 10:40:00,119.0,71.0
0,2019-01-05 10:40:00,2019-01-05 10:50:00,98.0,62.0
0,2019-01-05 10:50:00,2019-01-05 11:00:00,95.0,88.0
0,2019-01-05 11:00:00,2019-01-05 11:10:00,126.0,58.0
0,2019-01-05 11:10:00,2019-01-05 11:20:00,99.0,81.0
0,2019-01-05 11:20:00,2019-01-05 11:30:00,86.0,102.0
0,2019-01-05 11:30:00,2019-01-05 11:40:00,73.0,72.0
0,2019-01-05 11:40:00,2019-01-05 11:50:00,80.0,72.0
0,2019-01-05 11:50:00,2019-01-05 12:00:00,68.0,61.0
0,2019-01-05 12:00:00,2019-01-05 12:10:00,87.0,86.0
0,2019-01-05 12:10:00,2019-01-05 12:20:00,102.0,76.0
0,2019-01-05 12:20:00,2019-01-05 12:30:00,109.0,114.0
0,2019-01-05 12:30:00,2019-01-05 12:40:00,89.0,77.0
0,2019-01-05 12:40:00,2019-01-05 12:50:00,95.0,76.0
0,2019-01-05 12:50:00,2019-01-05 13:00:00,102.0,94.0
0,2019-01-05 13:00:00,2019-01-05 13:10:00,88.0,87.0
0,2019-01-05 13:10:00,2019-01-05 13:20:00,100.0,102.0
0,2019-01-05 13:20:00,2019-01-05 13:30:00,88.0,81.0
0,2019-01-05 13:30:00,2019-01-05 13:40:00,106.0,79.0
0,2019-01-05 13:40:00,2019-01-05 13:50:00,116.0,83.0
0,2019-01-05 13:50:00,2019-01-05 14:00:00,86.0,102.0
0,2019-01-05 14:00:00,2019-01-05 14:10:00,109.0,83.0
0,2019-01-05 14:10:00,2019-01-05 14:20:00,97.0,100.0
0,2019-01-05 14:20:00,2019-01-05 14:30:00,75.0,101.0
0,2019-01-05 14:30:00,2019-01-05 14:40:00,78.0,112.0
0,2019-01-05 14:40:00,2019-01-05 14:50:00,72.0,120.0
0,2019-01-05 14:50:00,2019-01-05 15:00:00,75.0,129.0
0,2019-01-05 15:00:00,2019-01-05 15:10:00,72.0,119.0
0,2019-01-05 15:10:00,2019-01-05 15:20:00,66.0,94.0
0,2019-01-05 15:20:00,2019-01-05 15:30:00,81.0,141.0
0,2019-01-05 15:30:00,2019-01-05 15:40:00,71.0,87.0
0,2019-01-05 15:40:00,2019-01-05 15:50:00,59.0,136.0
0,2019-01-05 15:50:00,2019-01-05 16:00:00,92.0,99.0
0,2019-01-05 16:00:00,2019-01-05 16:10:00,50.0,139.0
0,2019-01-05 16:10:00,2019-01-05 16:20:00,91.0,122.0
0,2019-01-05 16:20:00,2019-01-05 16:30:00,76.0,124.0
0,2019-01-05 16:30:00,2019-01-05 16:40:00,61.0,144.0
0,2019-01-05 16:40:00,2019-01-05 16:50:00,90.0,108.0
0,2019-01-05 16:50:00,2019-01-05 17:00:00,94.0,123.0
0,2019-01-05 17:00:00,2019-01-05 17:10:00,67.0,106.0
0,2019-01-05 17:10:00,2019-01-05 17:20:00,108.0,145.0
0,2019-01-05 17:20:00,2019-01-05 17:30:00,101.0,121.0
0,2019-01-05 17:30:00,2019-01-05 17:40:00,86.0,100.0
0,2019-01-05 17:40:00,2019-01-05 17:50:00,89.0,135.0
